"'Niebling CR, Conkle MT. 1990. Diversity of Washoe pine and comparisons with allozymes of ponderosa pine races. Canadian Journal of Forest Research 20: 298-308.","'Ronco FP Jr. 1990. Pinus edulis Engelm., pinyon. In: Burns RM, Honkala BH, tech. coords. Silvics of North America. Volume I, Conifers. Agric. Handbk. 654. Washington, DC: USDA Forest Service: 327-337.",
"'Nyman B. 1963. Studies on the germination in seeds of Scots pine. Studia Forestalia Suecica 2: I-164.","'Rossi E. 1929. Sulla germinabilita de seme di Pinus maritima in rapporto alla temperatura [in Italian]. Istituto Botanica R. Univ. Pavia Atti., Series IV I:",
"'Ohmasa M. 1956. Tree planting practices in temperate Asia: Japan. For. Dev.","'107-115.",
"'Pap. 10. Rome: FAO. 156 p.","'Rudolf PO. 1990. Pinus resinosa Ait., red pine. In: Burns RM, Honkala BH,",
"'Okholm DJ, Abriel RD. 1994. Directory of forest and conservation tree nurseries in the United States. R6-CP-TP-02-94. Portland, OR: USDA","'tech. coords. Silvics of North America. Volume I, Conifers. Agric. Handbk. 654. Washington, DC: USDA Forest Service: 442-455.",
"'Forest Service, Pacific Northwest Region, State and Private Forestry. 99 p.","'Rudolph TD, Laidly PR. 1990. Pinus banksiana Lamb., jack pine. In: Burns RM, Honkala BH, tech. coords. Silvics of North America. Volume I, Conifers.",
"'Old KM, Libby WJ, Russell JH, Eldridge KG. 1986. Genetic variability in sus- ceptibility of Pinus radiata to western gall rust. Silvae Genetica 35(4): 145-149.","'Agric. Handbk. 654. Washington, DC: USDA Forest Service: 280-293. Rudolph TD, Schoenike RE, Schantz-Hansen T. 1959. Results of one-parent progeny tests relating to the inheritance of open and closed cones in",
"'Oliver WW, Ryker RA. 1990. Pinus ponderosa Dougl. ex Laws., ponderosa pine. In: Burns RM, Honkala BH, tech. coords. Silvics of North America. Volume I, Conifers. Agric. Handbk. 654. Washington, DC: USDA Forest Service: 413-424.","'jack pine. For. Note 78. St. Paul: University of Minnesota. 2 p. Rudolph TD, Yeatman CW. 1982. Genetics of jack pine. Res. Pap. WO-38. Washington, DC: USDA Forest Service. 60 p. Sargent CS. 1905. Manual of the trees of North America. New York:",
"'O'Rourke FLS. 1961. The propagation of pines. Proceedings of the","'Houghton Mifflin. 826 p.",
"'International Plant Propagator's Society 16-22.","'Sargent CS. 1965. Manual of trees of North America (exclusive of Mexico).",
"'Otter FL. 1933. Idaho's record trees. Idaho Forester 37-39.","'2nd ed. New York: Dover. 934 p.",
"'Panetsos KP. 1986. Genetics and breeding in the group halepensis. Foret Mediteranienne 7(I): 5-13.","'Savory BH. 1962. The taxonomy of Pinus khasya (Royle) and Pinus insularis (Endlicher). Empire Forestry Review (1): 67-80.",
"'Pearson GA. 1931. Forest types in the Southwest as determined by climate and soil. Tech. Bull. 247. Washington, DC: USDA. 144 p.","'Scharpf RF, Kinloch BB, Jenkinson JL. 1992. One seed source of Jeffrey pine shows resistance to dwarf mistletoe. Res. Pap. PSW-207. Berkeley, CA:",
"'Posey CE, McCullough RB. 1969. Tenth year results of a shortleaf pine seed source study in Oklahoma. Oklahoma Agricultural Experiment Station Bulletin B-668: 1-14.","'USDA Forest Service, Pacific Southwest Research Station. 8 p. Schmitt D, Namkoong G. 1965. Pine species in the Harrison Experimental Forest Arboretum. Res. Pap. SO-18. New Orleans: USDA Forest Service,",
"'Powers RF. 1990. Pinus sabiniana Dougl., Digger pine. In: Burns RM, Honkala BH, tech. coords. Silvics of North America. Volume I, Conifers. Agric. Handbk. 654. Washington, DC: USDA Forest Service: 463-469. Poynton RJ. 1961. A guide to the characteristics and uses of trees and","'Southern Forest Experiment Station. 18 p. Schubert GH. 1952. Germination of various coniferous seeds after cold storage. Res. Note 83. Berkeley, CA: USDA Forest Service, California Forest and Range Experiment Station. 7 p.",
"'shrubs quoted in the price list of the Forest Department. Republic of South Africa Bulletin 39: I-50.","'Schubert GH. 1955. Effect of ripeness on the viability of sugar, Jeffrey, and ponderosa pine seed. Society of American Foresters Proceedings 55:",
"'Pravdin LF. 1963. Selection and seed production of the Siberian stone pine. In: Shimanyuk AP, ed. Fruiting of the Siberian stone pine in east Siberia. Akad. Nauk SSSR Sibirskoe Otdel 62: 1-20 [English translation TT65- 50123. Springfiled, VA: USDC CFSTI].","'67-69. Schubert GH, Adams RS. 1971. Reforestation practices for conifers in California. Sacramento: California Department of Conservation, Division of Forestry. 359 p.",
"'Pravdin LF. 1964. Scots pine variation, intraspecific taxonomy and selection. Acad. Nauk SSSR. 208 p. [English translation TT69-55066. Springfield, VA: USDC CFSTI].","'Schubert GH, Heidmann LJ, Larson MM. 1970. Artificial reforestation prac- tices for the Southwest. Agric. Handbk. 370. Washington, DC: USDA Forest Service. 25 p.",
"'Pravdin LF, Iroshnikov Al. 1982. Genetics of Pinus sibirica Du Tour, P. koraien- sis Sieb et Zucc., and P. pumila Regel. Annales Forestieres 9/3: 79-123.","'Sen Gupta JN. 1936. Seed weights, plant percents, etc., for forest plants in India. Indian Forest Records Silviculture 2(5): 175-221.",
"'Rafn J. 1915. The testing of forest seeds during 25 years, 1887-1912. Copenhagen: Langkjaers Bogtrykkeri. 91 p.","'Shafiq Y, Omer H. 1969. The effect of stratification on germination of Pinus brutia seed. Mesopotamian Agriculture 4: 96-99.",
"'Read AD. 1932. Notes on Arizona pine and Apache pine. Journal of Forestry 30: 1013-1014.","'Shaw GR. 1914. The genus Pinus. Pub. 5. Boston: Arnold Arboretum, 96 p. Sherry SP. 1947. The potentialities of genetic research in South African",
"'Read RA. 1971. Scots pine in eastern Nebraska: a provenance study. Res. Pap. RM-78. Fort Collins, CO: USDA Forest Service, Rocky Mountain Forest and Range Experiment Station. 13 p.","'forestry. Pretoria: Department of Forestry. 11 p. Shoulders E. 1961. Effect of nurserybed density on loblolly and slash pine seedlings. Journal of Forestry 59: 576-579.",
"'Read RA. 1976. Austrian (European black) pine in eastern Nebraska: a provenance test. Res. Pap. RM-180. Fort Collins, CO: USDA Forest Service, Rocky Mountain Forest and Range Experiment Station. 8 p.","'Simak M. 1984. A method for removal of filled-dead seeds from a sample of Pinus contorta. Seed Science and Technology :767-775. Simak M, Ohba K, Suszka B. 1961. Effect of X-irradiation on seeds of differ-",
"'Read RA. 1980. Genetic variation in seedling progeny of ponderosa pine provenances. For. Sci. Monogr. 23. Washington, DC: Society of American Foresters. 59 p.","'ent weight from individual trees of Scots pine (Pinus sylvestris L.). Botaniska Notiser 114(3): 300-312. Skilling DD. 1990. Pinus sylvestris L., Scotch pine. In: Burns RM, Honkala BH,",
"'Read RA. 1983. Ten-year performance of ponderosa pine provenances in the Great Plains of North America. Res. Pap. RM-250. Fort Collins, CO: USDA Forest Service, Rocky Mountain Forest and Range Experiment Station. 17 p. Read RA, Sprackling JA. 1981. Hail damage variation by seed source in a","'tech. coords. Silvics of North America. Volume I, Conifers. Agric. Handbk. 654. Washington, DC: USDA Forest Service: 489-496. Smith RH. 1977. Monoterpenes of ponderosa pine xylem resin in western United States. Tech. Bull. 1532. Washington, DC: USDA Forest Service. 48 p.",
"'ponderosa pine plantation. Res. Note RM-410. Fort Collins, CO: USDA Forest Service, Rocky Mountain Forest and Range Experiment Station. 6 p.","'Smith RH. 1981. Variation in immature cone color of ponderosa pine (Pinaceae) in northern California and southern Oregon. Madroño 28(4): 272-275.",
